heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder
119.0,10.0,10.0,10.0,cresh06,4.0,53.0114,70.0,44.0,24.7155,27.75,-0.017452406437283637,-0.9998476951563913,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
63.0,10.0,10.0,10.0,cresh06,4.0,53.3983,70.0,44.0,24.3438,28.375,-0.08280820751220438,-0.9965655024977614,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
63.0,10.0,10.0,10.0,cresh06,4.0,53.6756,68.0,44.0,24.2712,28.375,-0.1478094111296106,-0.9890158633619168,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
66.0,10.0,10.0,10.0,cresh06,4.0,53.4761,68.0,45.0,24.2712,28.625,-0.19509032201612836,-0.9807852804032304,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
89.0,10.0,10.0,10.0,cresh14,10.0,61.182,84.0,47.0,26.3971,29.125,-0.22920039092241432,-0.9733792584604485,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
64.0,10.0,10.0,10.0,cresh06,4.0,53.3849,68.0,45.0,24.3301,28.375,-0.2588190451025208,-0.9659258262890683,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
94.0,9.0,10.0,10.0,cresh14,10.0,60.9496,84.0,49.0,26.3971,28.5,-0.30486429902801093,-0.9523957996432784,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
65.0,10.0,10.0,9.0,cresh06,4.0,53.6428,71.0,44.0,24.1217,28.125,-0.32143946530316153,-0.9469301294951057,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
82.0,10.0,10.0,10.0,cresh05,0.0,56.5614,227.0,42.0,22.7381,25.875,-0.36650122672429736,-0.9304175679820245,0.7818314824680297,0.6234898018587336,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
89.0,10.0,10.0,10.0,cresh05,0.0,56.604,225.0,42.0,22.7549,26.625,-0.374606593415912,-0.9271838545667874,0.7818314824680297,0.6234898018587336,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
67.0,10.0,10.0,10.0,cresh06,4.0,53.3569,71.0,48.0,24.3754,28.125,-0.38268343236508967,-0.9238795325112867,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
84.0,10.0,10.0,10.0,cresh14,10.0,60.5482,89.0,47.0,26.4834,29.5,-0.4809887689193874,-0.8767267557075078,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
107.0,10.0,10.0,10.0,cresh11,7.0,62.3974,313.0,49.0,26.993,29.25,-0.4962165036752082,-0.8681988144891423,0.7818314824680297,0.6234898018587336,0.34146341463414637,0.024390243902439025,0.4878048780487805,0.024390243902439025,0.04878048780487805,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
61.0,10.0,10.0,9.0,cresh06,4.0,53.3313,70.0,45.0,24.805,27.625,-0.5000000000000001,-0.8660254037844386,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
73.0,10.0,10.0,10.0,cresh01,7.0,62.1808,287.0,49.0,27.052,29.125,-0.5299192642332048,-0.8480480961564261,0.7818314824680297,0.6234898018587336,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
59.0,10.0,10.0,9.0,cresh06,4.0,53.6014,66.0,44.0,24.7461,27.75,-0.5555702330196023,-0.8314696123025451,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
107.0,10.0,10.0,10.0,cresh14,10.0,60.3012,89.0,65.0,26.5287,28.0,-0.5913096483635824,-0.8064446042674825,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
60.0,10.0,10.0,9.0,cresh06,4.0,53.3508,65.0,44.0,24.6113,28.25,-0.6087614290087207,-0.7933533402912352,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
105.0,10.0,10.0,11.0,cresh09,1.0,82.4407,237.0,67.0,28.1597,28.5,-0.6122172800344491,-0.7906895737438435,0.7818314824680297,0.6234898018587336,0.47058823529411764,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0392156862745098,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
74.0,10.0,10.0,10.0,cresh04,0.0,57.2609,187.0,44.0,22.9329,28.375,-0.6293203910498376,-0.7771459614569708,0.7818314824680297,0.6234898018587336,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
60.0,10.0,10.0,10.0,cresh01,7.0,61.7574,279.0,52.0,27.1562,28.75,-0.6394390019805846,-0.7688418320734597,0.7818314824680297,0.6234898018587336,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
57.0,10.0,10.0,9.0,cresh06,4.0,53.4372,72.0,44.0,24.625,28.125,-0.6593458151000688,-0.7518398074789774,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
64.0,10.0,10.0,10.0,cresh01,7.0,61.8353,338.0,49.0,27.1278,28.5,-0.6915130557822693,-0.7223639620597557,0.7818314824680297,0.6234898018587336,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
80.0,10.0,10.0,10.0,cresh14,10.0,60.1917,88.0,51.0,26.515,28.5,-0.6946583704589974,-0.7193398003386511,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
59.0,10.0,10.0,9.0,cresh06,4.0,53.1197,71.0,44.0,24.6113,28.25,-0.7071067811865475,-0.7071067811865477,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
88.0,10.0,10.0,10.0,cresh14,10.0,60.1309,85.0,49.0,26.5592,28.875,-0.7372773368101239,-0.6755902076156605,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
62.0,10.0,10.0,9.0,cresh06,4.0,52.9165,68.0,44.0,24.6734,27.875,-0.7518398074789773,-0.6593458151000691,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
59.0,10.0,10.0,9.0,cresh06,4.0,52.9615,67.0,44.0,24.6566,28.0,-0.7547095802227719,-0.6560590289905074,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
76.0,10.0,11.0,11.0,cresh13,10.0,60.3486,83.0,52.0,26.5592,30.125,-0.7575649843840494,-0.6527597524627228,0.7818314824680297,0.6234898018587336,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
96.0,10.0,10.0,11.0,cresh09,1.0,77.01100000000002,214.0,64.0,29.0484,31.625,-0.760405965600031,-0.6494480483301834,0.7818314824680297,0.6234898018587336,0.47058823529411764,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0392156862745098,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
63.0,10.0,10.0,9.0,cresh06,4.0,53.1343,68.0,44.0,24.566,28.5,-0.7933533402912349,-0.6087614290087209,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
94.0,9.0,10.0,11.0,cresh13,10.0,60.8474,82.0,53.0,26.6635,29.75,-0.8241261886220157,-0.5664062369248328,0.7818314824680297,0.6234898018587336,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
77.0,10.0,10.0,10.0,cresh04,7.0,61.4728,259.0,50.0,27.2931,28.625,-0.8571673007021121,-0.5150380749100545,0.7818314824680297,0.6234898018587336,0.0,0.0,0.0,0.0,0.0,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
89.0,10.0,10.0,10.0,cresh14,2.0,74.0191,80.0,69.0,27.6172,29.125,-0.8594064115014528,-0.5112930860770518,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0
62.0,10.0,10.0,10.0,cresh01,7.0,61.6954,299.0,48.0,27.2626,28.75,-0.900698239322588,-0.43444525740441686,0.7818314824680297,0.6234898018587336,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
81.0,10.0,10.0,10.0,cresh14,10.0,60.4654,77.0,54.0,26.7393,29.25,-0.9025852843498606,-0.43051109680829514,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
59.0,10.0,10.0,9.0,cresh01,7.0,61.4545,551.0,48.0,27.3352,28.75,-0.9271838545667873,-0.3746065934159123,0.7818314824680297,0.6234898018587336,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
109.0,10.0,10.0,10.0,cresh14,10.0,60.1479,80.0,56.0,26.754,28.625,-0.9304175679820246,-0.3665012267242972,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
69.0,11.0,10.0,10.0,cresh01,7.0,61.3876,376.0,49.0,27.3805,28.5,-0.9681476403781076,-0.25038000405444183,0.7818314824680297,0.6234898018587336,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
93.0,9.0,10.0,11.0,cresh13,10.0,60.2963,77.0,55.0,26.6803,29.5,-0.981627183447664,-0.1908089953765446,0.7818314824680297,0.6234898018587336,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
59.0,10.0,10.0,10.0,cresh01,7.0,61.5993,282.0,52.0,27.3668,28.75,-0.9824503977255097,-0.18652403600873468,0.7818314824680297,0.6234898018587336,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
68.0,10.0,10.0,11.0,cresh13,10.0,60.2185,69.0,52.0,26.7087,29.875,-0.9998476951563913,-0.017452406437283498,0.7818314824680297,0.6234898018587336,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
71.0,10.0,10.0,11.0,cresh05,0.0,54.3204,157.0,42.0,23.571,25.25,-0.9990482215818578,0.04361938736533577,0.7818314824680297,0.6234898018587336,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
72.0,10.0,10.0,11.0,cresh13,10.0,60.2477,65.0,50.0,26.6803,28.875,-0.9949685182509117,0.10018806161207608,0.7818314824680297,0.6234898018587336,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
96.0,10.0,10.0,10.0,cresh05,4.0,52.57100000000001,11.0,44.0,24.1975,28.25,-0.9848077530122081,0.17364817766692997,0.7818314824680297,0.6234898018587336,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
90.0,11.0,10.0,10.0,cresh05,7.0,61.3146,183.0,49.0,27.2931,29.375,-0.9807852804032304,0.19509032201612828,0.7818314824680297,0.6234898018587336,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
69.0,10.0,10.0,10.0,cresh13,10.0,60.4131,61.0,51.0,26.5908,28.125,-0.9733792584604486,0.2292003909224138,0.7818314824680297,0.6234898018587336,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
72.0,11.0,10.0,10.0,cresh05,7.0,61.4788,172.0,49.0,27.2173,29.0,-0.9575713608048143,0.2881962681340896,0.7818314824680297,0.6234898018587336,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
98.0,10.0,10.0,10.0,cresh05,1.0,85.9274,101.0,64.0,27.8027,29.375,-0.9469301294951057,0.3214394653031615,0.7818314824680297,0.6234898018587336,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
108.0,9.0,10.0,10.0,cresh05,1.0,85.2011,101.0,67.0,27.7743,29.375,-0.945518575599317,0.3255681544571563,0.7818314824680297,0.6234898018587336,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
70.0,10.0,11.0,11.0,cresh13,1.0,87.8472,104.0,64.0,27.4479,30.5,-0.9288095528719241,0.3705574375098364,0.7818314824680297,0.6234898018587336,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
86.0,10.0,10.0,10.0,cresh07,13.0,78.3955,1294.0,51.0,26.3686,29.625,-0.9081431738250815,0.41865973753742775,0.7818314824680297,0.6234898018587336,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
82.0,10.0,10.0,11.0,cresh08,7.0,64.395,171.0,49.0,27.7522,28.75,-0.861629160441526,0.5075383629607038,0.7818314824680297,0.6234898018587336,0.1,0.0,0.075,0.0,0.2,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
84.0,10.0,10.0,11.0,cresh07,7.0,64.9765,172.0,51.0,27.9175,30.75,-0.814115518356319,0.58070295571094,0.7818314824680297,0.6234898018587336,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
76.0,10.0,10.0,10.0,cresh07,7.0,65.99,172.0,48.0,27.9007,31.125,-0.7826081568524141,0.6225146366376193,0.7818314824680297,0.6234898018587336,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
106.0,10.0,10.0,10.0,cresh08,2.0,71.092,16.0,59.0,29.9983,29.375,-0.7431448254773947,0.6691306063588578,0.7818314824680297,0.6234898018587336,0.1,0.0,0.075,0.0,0.2,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0
77.0,10.0,10.0,10.0,cresh07,7.0,66.8513,172.0,48.0,27.9007,31.625,-0.740218127486832,0.6723668074346681,0.7818314824680297,0.6234898018587336,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
111.0,10.0,10.0,10.0,cresh07,1.0,81.9273,132.0,64.0,27.8638,27.875,0.48098876891938763,-0.8767267557075078,0.9749279121818236,-0.22252093395631434,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
76.0,9.0,11.0,10.0,cresh07,1.0,81.9455,120.0,68.0,28.205,30.25,0.4226182617406995,-0.9063077870366499,0.9749279121818236,-0.22252093395631434,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
84.0,9.0,11.0,10.0,cresh07,1.0,80.1803,123.0,65.0,28.4545,31.375,0.36243803828370175,-0.9320078692827984,0.9749279121818236,-0.22252093395631434,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
